																Class	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
																Type	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample
																Injection order	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct ion name	Fill %	MS/MS included	INCHIKEY	SMILES	LINK	Isotope parent ID	Isotope weight number	Dot product	Reverse dot product	Fragment presence %	Spectrum reference file name	MS/MS spectrum	M	M	M	M	M	N	N	N	N	N	S 	S 	S 	S 	S 
532	7.18	713.5579	CSH_negESI #616	[M-H]-	0.9333333	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7277_002		9997.4	10601.54	8820.357	12336.33	9578.905	1744	9436.337	12256.89	9130.893	11608.61	10738.53	10353.25	9680.561	11409.85	11810.69
555	6.39	744.5563	CSH_negESI #713	[M-H]-	0.6666667	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal_7230_013		573	5749.761	348	8995.272	4544.72	5142.441	3579.149	10019.16	5447.334	6284.112	4844.617	2218	885	3703.155	1368
4	1.58	227.2023	FA (14:0) [M-H]- (myristic acid)_TUNFSRHWOTWDNC-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_7747_007		105358.7	89961.15	64364.4	83908.98	84280.55	77720.71	65289.21	71377.06	75644.78	89580.53	81537.88	122106.8	90783.02	77299.03	86559.92
9	1.87	241.2178	FA (15:0) [M-H]- (pentadecylic acid)_WQEPLUUGTLDZJY-UHFFFAOYSA-N	[M-H]-	0.4666667	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_6247_004		5320	5788	5671	13489.98	11940.72	7768.91	4221	4713	4859	10075.45	5143	14722.28	4488.997	4046	3348.601
10	1.96	241.2177	FA (15:0) [M-H]- (pentadecylic acid)_WQEPLUUGTLDZJY-UHFFFAOYSA-N	[M-H]-	0.8	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_6247_004		15313	14415.27	7406.514	15140.91	13138.72	7296	8808	12380.41	13521.38	15435.03	14031.79	15750.58	11567.52	11841.05	6008.925
19	7.65	255.2328	FA (16:0) [M-H]- (palmitic acid)_IPCSVZSSVZVIGE-UHFFFAOYSA-N	[M-H]-	0.9333333	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7693_006		7236.53	6300.208	5432.426	6810.979	5691.745	6348.846	5998.645	6941.289	2311	6621.071	6022.804	6519.254	5998.186	6184.108	6750.439
20	11.09	255.2336	FA (16:0) [M-H]- (palmitic acid)_IPCSVZSSVZVIGE-UHFFFAOYSA-N	[M-H]-	0.8	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_7223_007		14647.65	14265.61	13438.95	14538.34	3089	13329.75	13343.16	13765.64	2938	14340.42	13765.38	13776.19	12984.06	13567.75	4060
21	3.15	255.2326	FA (16:0) [M-H]- (palmitic acid)_IPCSVZSSVZVIGE-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Severe_6339_003		18319.61	16885.96	13490.63	16955.13	13842.15	17138.76	16054.52	19448.67	14721.85	16395.19	15436.95	15892.84	15429.48	13088.58	13766.58
22	11.72	255.2332	FA (16:0) [M-H]- (palmitic acid)_IPCSVZSSVZVIGE-UHFFFAOYSA-N	[M-H]-	1	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Mild_6816_008		18099.61	18999.38	18592.85	19191.74	16711.8	19614.69	18368.99	18403.67	17326.47	18361.1	18071.01	18952.73	18458.58	18070.3	19849.67
23	4.28	255.233	FA (16:0) [M-H]- (palmitic acid)_IPCSVZSSVZVIGE-UHFFFAOYSA-N	[M-H]-	0.8666667	FALSE	No record	No record	No record	-1	-1	-1	-1	-1	BAL_Normal 7295_012		7930.946	7482.337	7127.927	1909	6647.588	7040.124	6845.11	2279	6115.162	7196.517	7078.837	7178.3	7532.023	7427.738	7172.853
